3352-87-2	Developmental Toxicity-fetal death mouse
68767-14-6	Human Adverse Urinary Effects -nephropathy; Developmental Toxicity-retardation rabbit; Human Adverse Urinary Effects -blood urine; Reproductive Toxicity -repro rodent female; Human Adverse Urinary Effects -bladder; Developmental Toxicity-visceral rat; Human Adverse Urinary Effects -kidney function; Reproductive Toxicity -repro rat female
33005-95-7	Human Adverse Urinary Effects -nephropathy; Human Adverse Hepatobiliary Effects -liver acute; Human Adverse Hepatobiliary Effects -enzyme release; Developmental Toxicity-retardation rabbit; Human Adverse Urinary Effects -blood urine; Developmental Toxicity-fetal death rabbit; Developmental Toxicity-post impl. loss rabbit; Human Adverse Hepatobiliary Effects -jaundice; Human Adverse Urinary Effects -kidney function
63358-49-6	Human Adverse Urinary Effects -nephropathy; Human Adverse Hepatobiliary Effects -liver acute; Human Adverse Hepatobiliary Effects -enzyme release; Developmental Toxicity-retardation rabbit; Human Adverse Urinary Effects -blood urine; Human Adverse Hepatobiliary Effects -gall bladder; Developmental Toxicity-pre impl. loss rabbit; Neurotoxicityy-pup behavior rodent; Human Adverse Hepatobiliary Effects -jaundice; Human Adverse Urinary Effects -kidney function
64953-12-4	Human Adverse Urinary Effects -nephropathy; Human Adverse Hepatobiliary Effects -enzyme release; Human Adverse Urinary Effects -blood urine; Developmental Toxicity-fetal death rabbit; Reproductive Toxicity-carc mouse female; Developmental Toxicity-weight dec. rodent; Human Adverse Hepatobiliary Effects -jaundice; Human Adverse Urinary Effects -kidney function
121123-17-9	Human Adverse Urinary Effects -nephropathy; Developmental Toxicity-retardation rabbit; Human Adverse Urinary Effects -blood urine; Developmental Toxicity-fetal death rabbit; Human Adverse Hepatobiliary Effects -gall bladder; Developmental Toxicity-pre impl. loss rabbit; Human Adverse Urinary Effects -kidney function; Developmental Toxicity-fetal death rodent
50370-12-2	Human Adverse Urinary Effects -nephropathy; Developmental Toxicity-retardation rabbit; Human Adverse Urinary Effects -blood urine; Developmental Toxicity-fetal death rabbit; Human Adverse Hepatobiliary Effects -gall bladder; Developmental Toxicity-pre impl. loss rabbit; Human Adverse Urinary Effects -kidney function; Developmental Toxicity-fetal death rodent
51627-14-6	Human Adverse Urinary Effects -nephropathy; Developmental Toxicity-retardation rabbit; Human Adverse Urinary Effects -blood urine; Developmental Toxicity-fetal death rabbit; Human Adverse Hepatobiliary Effects -gall bladder; Human Adverse Urinary Effects -kidney function; Developmental Toxicity-fetal death rodent
26787-78-0	Human Adverse Urinary Effects -nephropathy; Developmental Toxicity-retardation rabbit; Human Adverse Urinary Effects -blood urine; Developmental Toxicity-fetal death rabbit; Developmental Toxicity-pre impl. loss rabbit; Human Adverse Hepatobiliary Effects -jaundice; Human Adverse Urinary Effects -kidney function; Developmental Toxicity-fetal death rodent
69-53-4	Human Adverse Urinary Effects -nephropathy; Developmental Toxicity-retardation rabbit; Human Adverse Urinary Effects -blood urine; Developmental Toxicity-fetal death rabbit; Developmental Toxicity-pre impl. loss rabbit; Human Adverse Hepatobiliary Effects -jaundice; Human Adverse Urinary Effects -kidney function
7177-48-2	Human Adverse Urinary Effects -nephropathy; Developmental Toxicity-retardation rabbit; Human Adverse Urinary Effects -blood urine; Developmental Toxicity-fetal death rabbit; Developmental Toxicity-pre impl. loss rabbit; Human Adverse Hepatobiliary Effects -jaundice; Human Adverse Urinary Effects -kidney function
33564-30-6	Human Adverse Urinary Effects -nephropathy; Reproductive Toxicity-cell transformation; Reproductive Toxicity- sperm mouse; Human Adverse Urinary Effects -blood urine; Developmental Toxicity-fetal death mouse; Developmental Toxicity-pre impl. loss rabbit; Developmental Toxicity-weight dec. rodent; Human Adverse Hepatobiliary Effects -jaundice; Human Adverse Urinary Effects -kidney function; Developmental Toxicity-fetal death rodent
28002-18-8	Human Adverse Urinary Effects -nephropathy; Reproductive Toxicity-cell transformation; Human Adverse Urinary Effects -blood urine; Reproductive Toxicity-SHE; Human Adverse Hepatobiliary Effects -jaundice; Human Adverse Urinary Effects -kidney function
3485-14-1	Human Adverse Urinary Effects -nephropathy; Reproductive Toxicity-cell transformation; Human Adverse Urinary Effects -blood urine; Reproductive Toxicity-SHE; Human Adverse Hepatobiliary Effects -jaundice; Human Adverse Urinary Effects -kidney function
6489-61-8	Human Adverse Urinary Effects -nephropathy; Reproductive Toxicity-cell transformation; Human Adverse Urinary Effects -blood urine; Reproductive Toxicity-SHE; Human Adverse Hepatobiliary Effects -jaundice; Human Adverse Urinary Effects -kidney function
33817-20-8	Human Adverse Urinary Effects -nephropathy; Developmental Toxicity-retardation rabbit; Human Adverse Urinary Effects -blood urine; Developmental Toxicity-fetal death rabbit; Reproductive Toxicity-SHE; Developmental Toxicity-pre impl. loss rabbit; Human Adverse Hepatobiliary Effects -jaundice; Human Adverse Urinary Effects -kidney function
37661-08-8	Human Adverse Urinary Effects -nephropathy; Developmental Toxicity-retardation rabbit; Human Adverse Urinary Effects -blood urine; Developmental Toxicity-fetal death rabbit; Reproductive Toxicity-SHE; Developmental Toxicity-pre impl. loss rabbit; Developmental Toxicity-weight dec. rodent; Human Adverse Hepatobiliary Effects -jaundice; Human Adverse Urinary Effects -kidney function; Developmental Toxicity-fetal death rodent
53994-73-3	Human Adverse Urinary Effects -nephropathy; Developmental Toxicity-retardation rabbit; Human Adverse Urinary Effects -blood urine; Developmental Toxicity-fetal death rabbit; Developmental Toxicity-pre impl. loss rabbit; Neurotoxicityy-pup behavior rodent; Human Adverse Urinary Effects -kidney function; Developmental Toxicity-fetal death rodent
859-07-4	Human Adverse Urinary Effects -nephropathy; Reproductive Toxicity-cell transformation; Developmental Toxicity-retardation rabbit; Human Adverse Urinary Effects -blood urine; Reproductive Toxicity-SHE; Human Adverse Urinary Effects -kidney function
2809-21-4	Human Adverse Urinary Effects -nephropathy; Human Adverse Urinary Effects -urolithiasis; Human Adverse Urinary Effects -kidney function
7414-83-7	Human Adverse Urinary Effects -nephropathy; Human Adverse Urinary Effects -urolithiasis; Human Adverse Urinary Effects -kidney function
25211-86-3	Human Adverse Urinary Effects -nephropathy; Human Adverse Urinary Effects -urolithiasis; Human Adverse Urinary Effects -kidney function
121268-17-5	Human Adverse Urinary Effects -nephropathy; Reproductive Toxicity-cell transformation; Human Adverse Urinary Effects -urolithiasis; Reproductive Toxicity-SHE; Human Adverse Urinary Effects -kidney function
2667-89-2	Reproductive Toxicity-carc mouse male; Developmental Toxicity-visceral rodent; Human Adverse Urinary Effects -kidney function
121808-62-6	Reproductive Toxicity-carc mouse female; Reproductive Toxicity-SHE; Human Adverse Urinary Effects -kidney function
88495-63-0	Developmental Toxicity-post impl. loss mouse; Developmental Toxicity-fetal death mouse; Human Adverse Urinary Effects -kidney; Developmental Toxicity-fetal death rodent
143201-11-0	Human Adverse Urinary Effects -nephropathy; Reproductive Toxicity- sperm mouse; Human Adverse Hepatobiliary Effects -liver acute; Human Adverse Hepatobiliary Effects -enzyme release; Reproductive Toxicity-carc mouse male; Human Adverse Urinary Effects -urolithiasis; Human Adverse Urinary Effects -blood urine; Developmental Toxicity-pre impl. loss rat; Developmental Toxicity-post impl. loss rabbit; Developmental Toxicity-pre impl. loss rodent; Human Adverse Urinary Effects -bladder; Developmental Toxicity-weight dec. rat; Developmental Toxicity-pre impl. loss rabbit; Developmental Toxicity-weight dec. rodent; Human Adverse Hepatobiliary Effects -jaundice; Developmental Toxicity-structural rabbit; Developmental Toxicity-structural rat; Human Adverse Urinary Effects -kidney
3563-14-2	Human Adverse Urinary Effects -nephropathy; Developmental Toxicity-retardation rat; Developmental Toxicity-post impl. loss rabbit; Developmental Toxicity-visceral rodent
35065-27-1	Human Adverse Urinary Effects -nephropathy; Developmental Toxicity-structural rodent; Reproductive Toxicity-cell transformation; Reproductive Toxicity- sperm mouse; Human Adverse Hepatobiliary Effects -enzyme release; Reproductive Toxicity-carc mouse male; Neurotoxicityy-pup behavior rodent; Developmental Toxicity-visceral rat; Reproductive Toxicity-carc rodent
99464-64-9	Human Adverse Urinary Effects -nephropathy; Human Adverse Hepatobiliary Effects -jaundice
25999-20-6	Human Adverse Urinary Effects -nephropathy; Human Adverse Hepatobiliary Effects -gall bladderPositive; Developmental Toxicity-structural mouse; Human Adverse Hepatobiliary Effects -jaundice
55134-13-9	Human Adverse Urinary Effects -nephropathy; Reproductive Toxicity-cell transformation; Reproductive Toxicity- sperm mouse; Reproductive Toxicity -repro rodent male; Reproductive Toxicity-SHE; Developmental Toxicity-fetal death mouse; Reproductive Toxicity -sperm ratPositive; Human Adverse Hepatobiliary Effects -jaundice; Developmental Toxicity-fetal death rat; Developmental Toxicity-post impl. loss rodent; Developmental Toxicity-fetal death rodent
55721-31-8	Human Adverse Urinary Effects -nephropathy; Reproductive Toxicity-cell transformation; Reproductive Toxicity- sperm mouse; Reproductive Toxicity -repro rodent male; Reproductive Toxicity-SHE; Developmental Toxicity-fetal death mouse; Reproductive Toxicity -sperm ratPositive; Human Adverse Hepatobiliary Effects -jaundice; Developmental Toxicity-fetal death rat; Developmental Toxicity-post impl. loss rodent; Developmental Toxicity-fetal death rodent
1152-61-0	Human Adverse Urinary Effects -nephropathy; Developmental Toxicity-post impl. loss mouse; Human Adverse Hepatobiliary Effects -liver acute; Developmental Toxicity-retardation rabbit; Developmental Toxicity-weight dec. mouse; Neurotoxicityy-pup behavior mouse; Reproductive Toxicity -repro rodent male; Reproductive Toxicity-SHE; Developmental Toxicity-post impl. loss rabbit; Developmental Toxicity-pre impl. loss rabbit; Developmental Toxicity-pre impl. loss mouse
11096-82-5	Human Adverse Urinary Effects -nephropathy; Developmental Toxicity-structural rodent; Reproductive Toxicity-cell transformation; Reproductive Toxicity- sperm mouse; Human Adverse Hepatobiliary Effects -enzyme release; Reproductive Toxicity-carc mouse male; Human Adverse Urinary Effects -bladder; Neurotoxicityy-pup behavior rodent; Developmental Toxicity-visceral rat; Reproductive Toxicity-carc rodent
74103-07-4	Human Adverse Urinary Effects -nephropathy; Human Adverse Urinary Effects -blood urine; Developmental Toxicity-visceral rat; Developmental Toxicity-visceral rodent
15686-71-2	Human Adverse Urinary Effects -nephropathy; Developmental Toxicity-retardation rabbit; Human Adverse Urinary Effects -blood urine; Developmental Toxicity-fetal death rabbit; Human Adverse Hepatobiliary Effects -gall bladder; Developmental Toxicity-pre impl. loss rabbit; Developmental Toxicity-fetal death rodent
38821-53-3	Human Adverse Urinary Effects -nephropathy; Reproductive Toxicity-cell transformation; Human Adverse Urinary Effects -blood urine; Human Adverse Hepatobiliary Effects -gall bladder
121961-22-6	Human Adverse Urinary Effects -nephropathy; Developmental Toxicity-retardation rabbit; Human Adverse Urinary Effects -blood urine; Developmental Toxicity-fetal death rabbit; Reproductive Toxicity-SHE; Developmental Toxicity-pre impl. loss rabbit; Neurotoxicityy-pup behavior rodent; Human Adverse Hepatobiliary Effects -jaundice; Developmental Toxicity-fetal death rodent
107667-60-7	Human Adverse Urinary Effects -nephropathy; Reproductive Toxicity-carc mouse male; Developmental Toxicity-retardation rabbit; Neurotoxicityy-pup behavior mouse
112410-23-8	Reproductive Toxicity-carc mouse male; Human Adverse Urinary Effects -urolithiasis; Human Adverse Hepatobiliary Effects -gall bladder; Reproductive Toxicity-carc mouse female; Developmental Toxicity-fetal death rat
96489-71-3	Human Adverse Hepatobiliary Effects -liver acute; Human Adverse Urinary Effects -urolithiasis
123122-55-4	Human Adverse Hepatobiliary Effects -liver acute; Human Adverse Urinary Effects -urolithiasis; Human Adverse Urinary Effects -blood urine; Human Adverse Hepatobiliary Effects -jaundice
140923-17-7	Human Adverse Urinary Effects -nephropathy; Human Adverse Hepatobiliary Effects -liver acute; Human Adverse Hepatobiliary Effects -enzyme release; Human Adverse Urinary Effects -urolithiasis; Developmental Toxicity-retardation rabbit; Human Adverse Hepatobiliary Effects -gall bladder; Developmental Toxicity-post impl. loss rabbit; Developmental Toxicity-pre impl. loss rabbit; Human Adverse Hepatobiliary Effects -bile duct; Neurotoxicityy-pup behavior rodent; Developmental Toxicity-visceral rat; Human Adverse Hepatobiliary Effects -jaundice; Developmental Toxicity-structural rat
9007-43-6	Human Adverse Urinary Effects -nephropathy; Human Adverse Urinary Effects -urolithiasis; Developmental Toxicity-visceral mouse; Developmental Toxicity-retardation rabbit; Developmental Toxicity-fetal death rabbit; Human Adverse Hepatobiliary Effects -gall bladder; Reproductive Toxicity -repro rodent female; Developmental Toxicity-post impl. loss rabbit; Developmental Toxicity-fetal death mouse; Developmental Toxicity-structural mouse
22494-42-4	Human Adverse Urinary Effects -nephropathy; Developmental Toxicity-structural rodent; Human Adverse Hepatobiliary Effects -liver acute; Human Adverse Hepatobiliary Effects -enzyme release; Reproductive Toxicity-carc mouse male; Human Adverse Urinary Effects -urolithiasis; Human Adverse Urinary Effects -blood urine; Human Adverse Hepatobiliary Effects -gall bladder; Human Adverse Urinary Effects -bladder; Developmental Toxicity-structural rabbit; Developmental Toxicity-post impl. loss rodent
38194-50-2	Human Adverse Urinary Effects -nephropathy; Human Adverse Urinary Effects -urolithiasis; Human Adverse Urinary Effects -blood urine; Reproductive Toxicity -repro rodent female; Developmental Toxicity-pre impl. loss rabbit; Reproductive Toxicity -repro rat female; Developmental Toxicity-fetal death rodent
537-55-3	Developmental Toxicity-retardation rat; Human Adverse Urinary Effects -urolithiasis; Reproductive Toxicity -sperm rat; Developmental Toxicity-retardation rabbit; Neurotoxicityy-pup behavior mouse; Reproductive Toxicity -repro rodent female; Developmental Toxicity-post impl. loss rabbit; Developmental Toxicity-pre impl. loss rabbit; Developmental Toxicity-visceral rat; Developmental Toxicity-visceral rodent; Reproductive Toxicity -sperm rodent; Developmental Toxicity-structural rabbit; Developmental Toxicity-post impl. loss rodent; Reproductive Toxicity -repro rat female
